Index,min,max,avg,std
Internal Density,0.0013283458865094484,0.25,0.21190562384494838,0.07185640062361122
Edges inside,1.0,1152.0,35.91891891891892,186.58674938880282
Average Degree,1.0,3.496206373292868,1.2669953652177801,0.5778681739068843
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,1.0,0.05314301677839506,0.18082758371993876
Expansion,0.0,0.10204081632653061,0.005583971983278292,0.02187780480489294
Cut Ratio,0.0,5.29531999618737e-05,2.983173439903497e-06,1.1385642572877103e-05
Conductance,0.0,0.03333333333333333,0.001900999099958051,0.007513922238134345
Normalized Cut,0.0,0.035083414472430546,0.0026314956583788395,0.00891747729780588
Maximum-ODF,0.0,3.0,0.13513513513513514,0.5282383860997857
Average-ODF,0.0,0.10204081632653061,0.005583971983278292,0.02187780480489294
Flake-ODF,0.0,0.0,0.0,0.0
