Index,min,max,avg,std
Internal Density,0.008385093167701863,0.25,0.1656688590813366,0.10300344970370791
Edges inside,1.0,153.0,21.85,38.21423164215133
Average Degree,1.0,3.5172413793103448,1.652415774059595,0.7964232516632344
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,1.0,0.18550071314421285,0.28601158063163995
Expansion,0.0,0.3673469387755102,0.08804948389227678,0.13887837189801724
Cut Ratio,0.0,0.00038955136667604475,9.352060029900068e-05,0.00014741621051755186
Conductance,0.0,0.13043478260869565,0.029771049158808092,0.04708346882756501
Normalized Cut,0.0,0.14778860076345926,0.035287473183438375,0.05553189953967388
Maximum-ODF,0.0,13.0,1.55,3.247691487810996
Average-ODF,0.0,0.3673469387755102,0.08804948389227678,0.13887837189801724
Flake-ODF,0.0,0.0,0.0,0.0
