Index,min,max,avg,std
Internal Density,0.0014457230933259163,0.25,0.20666847682709644,0.07773171415428122
Edges inside,1.0,998.0,34.26315789473684,160.28719031632372
Average Degree,1.0,3.5774647887323945,1.3251222303059642,0.671261334221932
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,1.0,0.06044073738397576,0.18390864015420894
Expansion,0.0,0.39436619718309857,0.01702210299848762,0.0662399936333435
Cut Ratio,0.0,0.0002070163764740675,9.208120008171632e-06,3.497782212766371e-05
Conductance,0.0,0.09929078014184398,0.004814989117329085,0.017382832734941157
Normalized Cut,0.0,0.11071002973401363,0.006492974186229562,0.02143855855976171
Maximum-ODF,0.0,6.0,0.3684210526315789,1.3459696686888865
Average-ODF,0.0,0.39436619718309857,0.01702210299848762,0.0662399936333435
Flake-ODF,0.0,0.014084507042253521,0.00037064492216456633,0.002254545044587924
