,degree,id,C,cc,in_degree,out_degree
109,1298,2393533334,0.0276530050977,0.434912711393,1257,1214
100,1290,18379614,0.0152079912918,0.372875404609,1282,24
156,1288,139909832,0.0172424194163,0.524564272267,1284,21
220,1282,825143318891917313,0.098428855187,0.431506735658,1054,627
219,1278,8736882,0.0150930817656,0.477456106428,1275,14
130,1267,5680622,0.0293911180769,0.453048623232,1243,62
297,1263,14513611,0.0438294353619,0.393826385011,1253,13
51,1259,2768501,0.0233182769276,0.419951609209,1245,30
140,1257,39240673,0.0192932317873,0.428201306219,1254,8
267,1249,845465022046232576,0.141029490259,0.4020161356,1114,1207
5,1247,48497926,0.126916477556,0.407319481529,1230,1232
203,1245,5715752,0.0211495499684,0.436246008165,1244,6
86,1244,747136356,0.0436360014797,0.44766367085,753,1181
97,1234,874106117886005249,0.122139541853,0.422128997653,950,1014
139,1231,806794262004150273,0.125639145912,0.380135991214,1066,1010
279,1230,767960339547774976,0.0343421513955,0.425117240101,1189,102
310,1228,52424550,0.0278412695884,0.40404348723,1217,78
2,1225,767,0.0430225423503,0.418034034199,1138,216
223,1224,893568606,0.0640741987719,0.418442894268,1192,606
213,1224,458966079,0.0225725340559,0.438910789196,1135,296
151,1218,1100927498,0.0223030872168,0.418761449896,1217,1
233,1212,15163466,0.022937429994,0.384700196758,1196,23
155,1211,45715838,0.0549426401239,0.472500124726,1135,234
120,1210,26122639,0.0673365734949,0.376495595812,522,1177
255,1209,2767680652,0.0655733215015,0.392409836756,1109,1193
133,1208,5893702,0.0259743110004,0.400991645966,1205,16
87,1207,732980827,0.0601439090106,0.427108863291,1203,594
63,1205,138168339,0.0666616120539,0.400001694394,1168,82
137,1201,15384720,0.0305342769914,0.393381434258,1137,198
201,1198,20526449,0.0348785151527,0.417436880805,1182,55
48,1198,6708952,0.0433429148832,0.414550020133,1147,110
235,1193,15950681,0.0462288404957,0.431885390192,1075,203
189,1191,207323988,0.0531352087434,0.421669440588,1114,1173
284,1190,19417492,0.0180859559972,0.441271924492,1186,32
306,1188,34991028,0.0982373581363,0.466702391175,1086,1182
168,1183,78835016,0.0934573691309,0.468942503808,815,1079
150,1177,5820642,0.0600295343286,0.399033645524,789,669
244,1176,8350912,0.01589376176,0.381732111473,1174,6
24,1174,1241258612,0.0288097758917,0.366877464853,1058,250
59,1174,3058713120,0.109917783868,0.483040573813,1138,787
270,1173,16383523,0.0544445705274,0.415645055936,1160,1127
61,1167,19284888,0.0314891653108,0.412650128785,1075,1149
15,1166,42208855,0.0359189923365,0.387004199331,1149,964
225,1160,150725695,0.0259409122014,0.432550351739,1156,9
208,1159,22363802,0.00914074875458,0.437286409956,1159,1
27,1150,225189494,0.118186702993,0.501307886495,1069,1135
166,1150,22473844,0.0464615733909,0.398297954176,1091,138
243,1145,101542844,0.0661007115156,0.374164893418,1103,206
261,1143,15040988,0.0595492551172,0.41405441979,393,1016
215,1141,24190981,0.0199624828944,0.39153434108,1122,26
212,1140,114508061,0.0247693421438,0.427005774965,1132,15
138,1139,136102085,0.0248036155416,0.419534419129,1126,757
101,1138,3247993823,0.0338602649652,0.433217364089,856,1129
124,1137,143159404,0.159051494543,0.373379482863,1047,929
12,1136,1363545236,0.1217301607,0.464978492787,1053,813
211,1136,15859039,0.0190001240926,0.432039319379,1049,391
134,1134,379767285,0.0735852904138,0.450408221777,1083,1087
242,1133,2876041031,0.116189858377,0.446737944235,1083,332
227,1130,15066271,0.0125367425163,0.3972320299,1121,42
300,1130,7589572,0.0349749563009,0.461897578813,1020,209
240,1128,16476536,0.0276970177525,0.444420678252,545,754
186,1126,5734902,0.019293467535,0.358471212455,1124,17
96,1125,18956073,0.0275523922499,0.403035947117,1125,1
132,1125,20542450,0.0144262554369,0.409687795909,1110,17
11,1124,420351046,0.0375218260696,0.405912597382,1104,43
21,1121,127941629,0.0516550911176,0.407180127389,1109,118
106,1115,1562935142,0.053344711821,0.389588542243,793,442
257,1111,15039436,0.0425264148036,0.377779762794,732,911
71,1109,1068831,0.0143313812489,0.400092154901,1097,13
289,1108,246103,0.0384197704793,0.381547431098,1106,94
52,1106,17710740,0.0207146539239,0.417503442798,1099,12
88,1103,16672662,0.083788973481,0.445825147482,885,1093
