Index,min,max,avg,std
Internal Density,0.10625,0.10625,0.10625,0.0
Edges inside,51.0,51.0,51.0,0.0
Average Degree,6.375,6.375,6.375,0.0
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,3.4375,3.4375,3.4375,0.0
Cut Ratio,0.00352202868852459,0.00352202868852459,0.00352202868852459,0.0
Conductance,0.3503184713375796,0.3503184713375796,0.3503184713375796,0.0
Normalized Cut,0.41042776095506595,0.41042776095506595,0.41042776095506595,0.0
Maximum-ODF,15.0,15.0,15.0,0.0
Average-ODF,3.4375,3.4375,3.4375,0.0
Flake-ODF,0.125,0.125,0.125,0.0
