Index,min,max,avg,std
Internal Density,0.051149425287356325,0.20833333333333334,0.11305532749498266,0.052365787615631716
Edges inside,5.0,89.0,27.166666666666668,28.719428189912758
Average Degree,2.5,5.933333333333334,3.6448412698412693,1.0895594821786196
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,1.3,5.428571428571429,2.887896825396826,1.334504590552084
Cut Ratio,0.0013238289205702647,0.005511240029006526,0.002944808745491303,0.001349603653914477
Conductance,0.2765957446808511,0.6333333333333333,0.4306323015293381,0.1371231750178594
Normalized Cut,0.29041083501028786,0.6721881390593046,0.46602695575692893,0.13361209974618263
Maximum-ODF,4.0,33.0,17.5,10.719919153924002
Average-ODF,1.3,5.428571428571429,2.887896825396826,1.334504590552084
Flake-ODF,0.0,0.5,0.21537698412698414,0.18798294338155672
